Material Group,Material Category,DSNY Diversion Summary Category,Aggregate Percent,Refuse Percent,"MGP (Metal, Glass, Plastic) Percent",Paper Percent,Organics Percent,"Generator (Aggregate, Residential, Schools, NYCHA, Litter Baskets)","Residential Strata (Citywide, HDHI, HDLI, HDMI, LDHI, LDLI, LDMI, MDHI, MDLI, MDMI)","Period (Annual, Season 1, Season 2)"
Paper,Newspaper,Designated Paper,0.8%,-,-,-,-,Aggregate,Citywide,Annual
Paper,Plain OCC/Kraft Paper,Designated Paper,7.2%,-,-,-,-,Aggregate,Citywide,Annual
Paper,High Grade Paper,Designated Paper,0.4%,-,-,-,-,Aggregate,Citywide,Annual
Paper,Mixed Low Grade Paper,Designated Paper,7.1%,-,-,-,-,Aggregate,Citywide,Annual
Paper,Compostable: Containers & Packaging,Organics Suitable for Composting,0.4%,-,-,-,-,Aggregate,Citywide,Annual
Paper,Compostable: Other Soiled Paper/Waxed OCC/Kraft,Organics Suitable for Composting,8.7%,-,-,-,-,Aggregate,Citywide,Annual
Paper,Other Non-recyclable Paper,Other (Non-Divertable),1.7%,-,-,-,-,Aggregate,Citywide,Annual
Paper,Beverage Cartons & Aseptic Boxes,Designated MGP,0.4%,-,-,-,-,Aggregate,Citywide,Annual
Paper,Shredded Paper,Designated Paper,0.3%,-,-,-,-,Aggregate,Citywide,Annual
Plastic,#1 PET Bottles - Clear & Green,Designated MGP,1.5%,-,-,-,-,Aggregate,Citywide,Annual
Plastic,#1 PET Bottles - All Other Colors,Designated MGP,0.1%,-,-,-,-,Aggregate,Citywide,Annual
Plastic,#2 HDPE Natural Bottles,Designated MGP,0.4%,-,-,-,-,Aggregate,Citywide,Annual
Plastic,#2 HDPE Colored Bottles,Designated MGP,0.5%,-,-,-,-,Aggregate,Citywide,Annual
Plastic,#3-#7 & Unlabeled Bottles,Designated MGP,0.1%,-,-,-,-,Aggregate,Citywide,Annual
Plastic,Thermoforms,Designated MGP,1.2%,-,-,-,-,Aggregate,Citywide,Annual
Plastic,Other PVC,Designated MGP,0.0%,-,-,-,-,Aggregate,Citywide,Annual
Plastic,Tubs & Lids,Designated MGP,0.9%,-,-,-,-,Aggregate,Citywide,Annual
Plastic,#6 Expanded Polystyrene Containers & Packaging (EPS),Other (Non-Divertable),0.3%,-,-,-,-,Aggregate,Citywide,Annual
