District,Organic Tons,MGP tons,Paper Tons,Refuse Tons,Diversion rate (%),Total Population,Median Age,Population/acre,Hispanic,White non-Hispanic,Black non-hispanic,Asian non-hispanic,Others non-hispanic,Non-hispanic of 2 or more races,Family household(%),Non-family household (%),Housing units,Median household income (dollars),Mean household income (dollars),Paper bins,MGP bins,Capture rates paper (2019),Capture rates MGP (2019),Capture rates total (2019),Number of Commercial/Office buildings,Number of Industrial/Manufacturing buildings,Number of Recreation/Outdoors,Organic Tons per person,Paper Tons per person,Refuse Tons per person,MGP Tons per person,Paper bins per person,MGP bins per person
BX01,0.0,5.3,5.5,148.1,6.8,100369,32.9,75.1,66.7,2.5,27.5,0.9,0.9,1.5,66.4,33.6,36640,29005,47018,10,10,20.166666666666664,26.691666666666666,23.016666666666666,67.0,343.0,23.0,0.0,5.4797796132271914e-05,0.0014755552013071764,5.28051490001893e-05,9.963235660413076e-05,9.963235660413076e-05
BX02,2.8,5.4,4.5,68.9,15.5,55420,33.4,39.7,71.3,1.7,24.1,0.7,0.9,1.3,65.9,34.1,18800,38580,55892,9,9,33.791666666666664,55.86666666666667,43.475,82.0,459.0,15.0,5.052327679538073e-05,8.11981234211476e-05,0.0012432334897149045,9.743774810537712e-05,0.0001623962468422952,0.0001623962468422952
BX03,3.0,6.1,5.9,119.7,11.1,92352,32.9,86.9,56.3,1.6,38.9,0.5,1.0,1.7,66.2,33.8,33823,33542,49457,6,6,25.349999999999994,37.98333333333333,30.88333333333333,51.0,122.0,21.0,3.2484407484407486e-05,6.388600138600139e-05,0.0012961278586278587,6.605162855162855e-05,6.496881496881497e-05,6.496881496881497e-05
BX04,2.5,12.1,10.0,162.8,13.2,151523,34.6,114.6,64.8,2.2,28.9,1.7,1.0,1.4,65.5,34.5,54431,40485,58692,18,18,29.89166666666667,50.35833333333333,38.88333333333333,59.0,34.0,31.0,1.6499145344271167e-05,6.599658137708467e-05,0.0010744243448189384,7.985586346627244e-05,0.00011879384647875241,0.00011879384647875241
BX05,2.2,12.2,8.5,149.0,13.3,135880,33.5,149.5,68.1,1.5,26.4,1.4,1.2,1.4,67.7,32.3,46946,37820,51419,16,16,26.941666666666666,49.475,36.84166666666667,34.0,15.0,12.0,1.6190756549896968e-05,6.255519576096556e-05,0.0010965557845157492,8.978510450397409e-05,0.0001177509567265234,0.0001177509567265234
BX06,1.6,8.5,9.5,113.9,14.7,88122,31.6,87.5,63.4,6.4,26.2,1.3,1.0,1.7,62.3,37.7,32444,31173,51642,18,18,36.358333333333334,47.85833333333333,41.416666666666664,74.0,72.0,15.0,1.8156646467397474e-05,0.00010780508840017249,0.0012925262703978575,9.645718435804906e-05,0.00020426227275822156,0.00020426227275822156
BX07,0.1,16.7,11.3,155.7,15.3,145525,34.9,115.6,68.0,5.7,16.6,6.9,1.3,1.5,65.1,34.9,52826,43984,60455,10,10,34.61666666666667,65.29166666666666,48.09166666666667,33.0,19.0,10.0,6.87167153410067e-07,7.764988833533757e-05,0.0010699192578594743,0.00011475691461948118,6.87167153410067e-05,6.87167153410067e-05
BX08,3.1,13.5,12.9,110.1,21.1,106511,40.8,53.0,48.9,31.9,10.5,5.0,1.2,2.5,60.0,40.0,44945,73352,106419,43,43,41.68333333333333,82.64999999999999,54.900000000000006,33.0,8.0,21.0,2.9104975072997155e-05,0.00012111425111021397,0.0010336960501732214,0.0001267474720920844,0.0004037141703673799,0.0004037141703673799
BX09,1.8,14.0,9.9,195.7,11.6,186667,35.8,73.1,55.1,2.5,26.9,11.1,2.1,2.2,68.0,32.0,68000,50000,67995,6,6,23.900000000000002,43.150000000000006,32.05,123.0,81.0,23.0,9.642839923500136e-06,5.3035619579250755e-05,0.0010483909850160982,7.499986607166773e-05,3.214279974500045e-05,3.214279974500045e-05
BX10,0.1,14.1,12.0,131.3,16.6,132323,42.2,34.0,41.2,24.5,23.7,7.3,1.3,2.1,61.6,38.1,55315,67384,89074,12,12,38.358333333333334,82.94166666666666,54.69166666666666,182.0,113.0,143.0,7.557265176877792e-07,9.068718212253349e-05,0.000992268917724054,0.00010655743899397686,9.068718212253349e-05,9.068718212253349e-05
