1 Tract | Manhattan: 68


"Population, Sex, Age, and Density"
,Selected Area,Selected Area,New York City,New York City,Difference,Difference
,Number,Percent,Number,Percent,Number,Pctg. Pt.
Total Population,"7,706",100.0%,"8,804,190",100.0%,"-8,796,484",0.0
Male,"3,554",46.1%,"4,184,548",47.5%,"-4,180,994",-1.4
Female,"4,152",53.9%,"4,619,642",52.5%,"-4,615,490",1.4
,,,,,,
Under 5 years,181,2.3%,"475,637",5.4%,"-475,456",-3.1
5 to 9 years,117,1.5%,"479,017",5.4%,"-478,900",-3.9
10 to 14 years,91,1.2%,"491,325",5.6%,"-491,234",-4.4
15 to 19 years,414,5.4%,"505,700",5.7%,"-505,286",-0.4
20 to 24 years,"1,209",15.7%,"617,630",7.0%,"-616,421",8.7
25 to 29 years,"1,408",18.3%,"791,423",9.0%,"-790,015",9.3
30 to 34 years,"1,022",13.3%,"778,600",8.8%,"-777,578",4.4
35 to 39 years,549,7.1%,"654,891",7.4%,"-654,342",-0.3
40 to 44 years,418,5.4%,"572,861",6.5%,"-572,443",-1.1
45 to 49 years,313,4.1%,"530,193",6.0%,"-529,880",-2.0
50 to 54 years,320,4.2%,"545,581",6.2%,"-545,261",-2.0
55 to 59 years,371,4.8%,"543,458",6.2%,"-543,087",-1.4
60 to 64 years,377,4.9%,"507,650",5.8%,"-507,273",-0.9
65 to 69 years,294,3.8%,"420,871",4.8%,"-420,577",-1.0
70 to 74 years,271,3.5%,"339,356",3.9%,"-339,085",-0.3
75 to 79 years,180,2.3%,"225,633",2.6%,"-225,453",-0.2
80 to 84 years,89,1.2%,"159,603",1.8%,"-159,514",-0.7
85 years and over,82,1.1%,"164,761",1.9%,"-164,679",-0.8
,,,,,,
Median age (years)  ,31.7,,36.8,,-5.1,
,,,,,,
Under 18 years,459,6.0%,"1,740,142",19.8%,"-1,739,683",-13.8
65 years and over,916,11.9%,"1,310,224",14.9%,"-1,309,308",-3.0
,,,,,,
Age dependency ratio  ,21.7,,53.0,,-31.3,
Old-age dependency ratio  ,14.5,,22.8,,-8.3,
Child dependency ratio  ,7.3,,30.2,,-22.9,
,,,,,,
Population per acre  ,178.8,,45.8,,133.0,


Mutually Exclusive Race / Hispanic Origin
,Selected Area,Selected Area,New York City,New York City,Difference,Difference
,Number,Percent,Number,Percent,Number,Pctg. Pt.
Total population,"7,706",100.0%,"8,804,190",100.0%,"-8,796,484",0.0
Hispanic,732,9.5%,"2,490,350",28.3%,"-2,489,618",-18.8
White non-Hispanic,"4,983",64.7%,"2,719,856",30.9%,"-2,714,873",33.8
Black non-Hispanic,456,5.9%,"1,776,891",20.2%,"-1,776,435",-14.3
Asian non-Hispanic,"1,123",14.6%,"1,373,502",15.6%,"-1,372,379",-1.0
Some other race non-Hispanic,106,1.4%,"143,632",1.6%,"-143,526",-0.3
Non-Hispanic of two or more races,306,4.0%,"299,959",3.4%,"-299,653",0.6


Detailed Race and Ethnicity
,Selected Area,Selected Area,New York City,New York City,Difference,Difference
,Number,Percent,Number,Percent,Number,Pctg. Pt.
Total Population,"7,706",100.0%,"8,804,190",100.0%,"-8,796,484",0.0
Hispanic or Latino (of any race),,,,,,
Mexican,147,1.9%,"338,530",3.8%,"-338,383",-1.9
Central American,Data are suppressed for selected area,Data are suppressed for selected area,"176,065",2.0%,,
Costa Rican,Data are suppressed for selected area,Data are suppressed for selected area,"7,052",0.1%,,
